iter	Logloss
0	0.6723869935
1	0.6542224284
2	0.635840968
3	0.6191636243
4	0.604155434
5	0.5906000013
6	0.577971098
7	0.5679323651
8	0.5569042015
9	0.54644967
10	0.5373730853
11	0.5288957504
12	0.5200042442
13	0.5125064297
14	0.5052523358
15	0.4993228174
16	0.4926062011
17	0.4870257468
18	0.4818398735
19	0.4773148173
20	0.4730225732
21	0.4696449919
22	0.4660290152
23	0.462180007
24	0.4587502158
25	0.4550057925
26	0.4519629275
27	0.4491959128
28	0.4467300896
29	0.4444878042
30	0.4417651688
31	0.4392396985
32	0.4367644008
33	0.4343865314
34	0.4322823994
35	0.4302393489
36	0.4286185978
37	0.4267883909
38	0.425249725
39	0.423795138
40	0.4220433969
41	0.4207146771
42	0.4193414512
43	0.4182671882
44	0.4171314499
45	0.4160531057
46	0.4151871501
47	0.4142456959
48	0.413664183
49	0.4130760276
50	0.4122494243
51	0.4115215829
52	0.4105038098
53	0.4101501089
54	0.4092424519
55	0.408550841
56	0.4078022865
57	0.4070409436
58	0.4062526841
59	0.4055568795
60	0.404937647
61	0.4043895188
62	0.4038045635
63	0.4030751349
64	0.4027111422
65	0.4021164359
66	0.401390176
67	0.401072288
68	0.4004976
69	0.4002717646
70	0.4001443146
71	0.3996005057
72	0.3991374178
73	0.3985329173
74	0.3982657415
75	0.3977752237
76	0.397703843
77	0.3969556039
78	0.3967356542
79	0.3961642926
80	0.3960186531
81	0.395456961
82	0.3950681909
83	0.3944311791
84	0.3941698527
85	0.3939543994
86	0.3936264103
87	0.3934934359
88	0.3932420076
89	0.3927848767
90	0.3926695242
91	0.3922848933
92	0.3919286731
93	0.3916369949
94	0.391168745
95	0.3907037648
96	0.390543487
97	0.3900831723
98	0.3896805675
99	0.3894350765
100	0.3892280774
101	0.388935584
102	0.388754652
103	0.3885445413
104	0.3881368896
105	0.3875931074
106	0.3873972481
107	0.3873770188
108	0.3873730597
109	0.3873694137
110	0.3872480646
111	0.38694056
112	0.386469441
113	0.3863997464
114	0.3863992865
115	0.3863823544
116	0.3858052504
117	0.3857954209
118	0.3855638219
119	0.3853071304
120	0.3850015351
121	0.3849107341
122	0.3847938491
123	0.3847027488
124	0.3846448379
125	0.3842937671
126	0.3840623866
127	0.3840419863
128	0.3837439734
129	0.3837118138
130	0.3834931906
131	0.3832759385
132	0.3832580832
133	0.3831562346
134	0.3829428944
135	0.3826722893
136	0.3824246881
137	0.3823651065
138	0.3821658235
139	0.3818302498
140	0.381654097
141	0.3816385582
142	0.3816130899
143	0.38130379
144	0.3810073207
145	0.3807995869
146	0.3807712889
147	0.3806691096
148	0.3806641394
149	0.3805301453
150	0.3804918445
151	0.3803375401
152	0.3801947151
153	0.3801947119
154	0.3801880476
155	0.3800933413
156	0.3799765494
157	0.3798409992
158	0.379655989
159	0.3796270754
160	0.3795073864
161	0.379312523
162	0.3792832573
163	0.3788836691
164	0.3785992121
165	0.3784654282
166	0.3784335606
167	0.3783866135
168	0.378343837
169	0.3781451054
170	0.3781448656
171	0.3779080023
172	0.3779080021
173	0.3778911437
174	0.3776813727
175	0.3775188786
176	0.3775041429
177	0.3774084981
178	0.3772154887
179	0.3772132177
180	0.3771973174
181	0.3769348963
182	0.3768915907
183	0.3767410599
184	0.3766156315
185	0.3765788463
186	0.3762191829
187	0.3761432808
188	0.3757747899
189	0.3757402801
190	0.3757345541
191	0.3756552172
192	0.3756283174
193	0.3756141804
194	0.3754083698
195	0.3752317737
196	0.3750716276
197	0.3749814487
198	0.3748707169
199	0.3748680598
200	0.3746657292
201	0.3742726768
202	0.3742585179
203	0.37405999
204	0.37380754
205	0.3735958933
206	0.3735347785
207	0.3735089936
208	0.3734118816
209	0.373079738
210	0.3726949742
211	0.3726697572
212	0.3725555232
213	0.3725472121
214	0.372208052
215	0.3721522615
216	0.3720244295
217	0.3718922482
218	0.3717687118
219	0.3715154702
220	0.3713173369
221	0.371117829
222	0.371105008
223	0.3709440683
224	0.3708031349
225	0.3706256449
226	0.3702825933
227	0.3702825362
228	0.3698668048
229	0.3698572501
230	0.3696665146
231	0.3693667859
232	0.3693658059
233	0.3690354057
234	0.3690028116
235	0.3687893583
236	0.368520366
237	0.3684771488
238	0.368461791
239	0.3683670936
240	0.3682835087
241	0.3682721245
242	0.3681749162
243	0.3678692037
244	0.3678691084
245	0.367848643
246	0.3678378657
247	0.367726661
248	0.3677163354
249	0.367577132
250	0.367386672
251	0.3672691729
252	0.3671128077
253	0.3670259474
254	0.3668656814
255	0.3667805582
256	0.3666023866
257	0.3665138169
258	0.3664264853
259	0.3663715891
260	0.3662055397
261	0.3658685286
262	0.365712836
263	0.3654783817
264	0.3651206102
265	0.3648834334
266	0.3648142968
267	0.3646640136
268	0.3644680644
269	0.3644317987
270	0.3644139317
271	0.3643871007
272	0.3640500058
273	0.3638805615
274	0.3636490768
275	0.363496557
276	0.3632681852
277	0.3630630399
278	0.3628898245
279	0.3628577496
280	0.3627672955
281	0.3627183003
282	0.3625744857
283	0.3625665014
284	0.3623984497
285	0.3623073683
286	0.3621590333
287	0.3621077011
288	0.3620646949
289	0.3618908675
290	0.3618908023
291	0.3618571087
292	0.3615667036
293	0.361502636
294	0.361406508
295	0.3612224163
296	0.3609197117
297	0.3608089726
298	0.3606774239
299	0.3603236554
